xllcorner,yllcorner,cellsize,nrows,ncols,band,units,scale,latitude,longitude,site,product,start,end,complete,modis_date,calendar_date,tile,proc_date,pixel,value
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2001289,2001-10-16,h19v12,2020065224458,1,6156
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2001305,2001-11-01,h19v12,2020066062656,1,6322
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002081,2002-03-22,h19v12,2020069195731,1,5005
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002097,2002-04-07,h19v12,2020070044543,1,5252
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002113,2002-04-23,h19v12,2020070114420,1,6085
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002129,2002-05-09,h19v12,2020070235735,1,6155
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002145,2002-05-25,h19v12,2020071071059,1,6782
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002161,2002-06-10,h19v12,2020071204242,1,6596
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002177,2002-06-26,h19v12,2020072144128,1,7107
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002193,2002-07-12,h19v12,2020077115628,1,7036
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002209,2002-07-28,h19v12,2020077130600,1,6880
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002225,2002-08-13,h19v12,2020074215140,1,7196
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002241,2002-08-29,h19v12,2020075223747,1,7050
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002257,2002-09-14,h19v12,2020076213207,1,7060
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002273,2002-09-30,h19v12,2020078025058,1,7021
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002289,2002-10-16,h19v12,2020080032404,1,5544
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002305,2002-11-01,h19v12,2020081101027,1,4886
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002321,2002-11-17,h19v12,2020082153553,1,4305
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002337,2002-12-03,h19v12,2020083123520,1,4049
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2002353,2002-12-19,h19v12,2020084061758,1,4353
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2003001,2003-01-01,h19v12,2020090093019,1,4191
